AuditID,SupplierName,AuditDate,AuditType,ComplianceScore,CriticalFindingsCount,PrimaryFindingCategory,Auditor,RemediationDueDate,Status
AUD-034,Northern Star Resources,2025-04-10,ESG Audit,85,1,Labor,PwC Assurance,2025-06-27,Open
AUD-081,USA Rare Earth LLC,2025-04-10,Security Audit,80,1,Traceability,SGS,2025-06-29,Closed
AUD-130,Kazakhstan Metals,2025-04-11,ESG Audit,73,2,AntiCorruption,SGS,2025-08-08,In Progress
AUD-053,Northern Star Resources,2025-04-16,Safety Audit,82,0,Safety,BureauVeritas,2025-07-07,Closed
AUD-192,Ural Mining Co,2025-04-16,Environmental Audit,53,4,Traceability,BureauVeritas,2025-08-07,Open
AUD-080,USA Rare Earth LLC,2025-04-17,Environmental Audit,89,0,Environmental,BureauVeritas,2025-06-27,Closed
AUD-141,Sino Rare Metals,2025-04-17,Security Audit,77,0,Safety,DNV,2025-07-26,Open
AUD-121,Kazakhstan Metals,2025-04-18,Environmental Audit,74,3,Traceability,BureauVeritas,2025-07-13,Open
AUD-092,Chilean Copper Corp,2025-04-20,Safety Audit,66,4,Security,TUV,2025-07-25,In Progress
AUD-197,Ural Mining Co,2025-04-20,ESG Audit,49,4,Security,KPMG Advisory,2025-08-06,Overdue
AUD-063,USA Rare Earth LLC,2025-04-21,ESG Audit,82,1,Safety,KPMG Advisory,2025-07-18,Open
AUD-198,Ural Mining Co,2025-04-25,Labor Audit,54,4,Traceability,PwC Assurance,2025-07-22,Overdue
AUD-028,Pacific Rim Mining,2025-04-29,ESG Audit,88,1,Traceability,KPMG Advisory,2025-07-13,Open
AUD-023,Pacific Rim Mining,2025-05-01,Labor Audit,86,1,Safety,Intertek,2025-08-29,Closed
AUD-104,Chilean Copper Corp,2025-05-04,Environmental Audit,81,1,Traceability,DNV,2025-07-10,In Progress
AUD-151,Sino Rare Metals,2025-05-08,Safety Audit,75,0,Labor,TUV,2025-08-27,Open
AUD-186,Congo Mineral Group,2025-05-13,ESG Audit,76,4,Security,DNV,2025-08-14,Open
AUD-136,Kazakhstan Metals,2025-05-14,Labor Audit,70,3,Traceability,BureauVeritas,2025-09-06,Closed
AUD-129,Kazakhstan Metals,2025-05-16,Labor Audit,72,2,AntiCorruption,SGS,2025-09-08,Open
AUD-169,Congo Mineral Group,2025-05-17,Labor Audit,69,2,Labor,KPMG Advisory,2025-08-30,Overdue
AUD-036,Northern Star Resources,2025-05-29,Labor Audit,82,0,Traceability,TUV,2025-09-24,Closed
AUD-203,Ural Mining Co,2025-05-31,Labor Audit,60,5,AntiCorruption,DNV,2025-09-09,Overdue
AUD-199,Ural Mining Co,2025-06-03,Security Audit,55,2,Traceability,Intertek,2025-08-06,Overdue
AUD-127,Kazakhstan Metals,2025-06-04,Security Audit,76,2,AntiCorruption,PwC Assurance,2025-09-19,Open
AUD-015,Pacific Rim Mining,2025-06-05,ESG Audit,90,0,Safety,SGS,2025-09-04,Closed
AUD-055,Northern Star Resources,2025-06-05,Safety Audit,81,1,Environmental,BureauVeritas,2025-08-29,Closed
AUD-217,Ural Mining Co,2025-06-12,Environmental Audit,60,3,AntiCorruption,BureauVeritas,2025-10-04,Overdue
AUD-068,USA Rare Earth LLC,2025-06-14,ESG Audit,85,0,Traceability,SGS,2025-09-11,Open
AUD-209,Ural Mining Co,2025-06-23,Security Audit,53,4,Environmental,BureauVeritas,2025-08-27,Open
AUD-020,Pacific Rim Mining,2025-06-27,Environmental Audit,83,0,Traceability,KPMG Advisory,2025-10-23,Closed
